id,title,date,rel-title,rel-id
45384aa3-c3a6-48bb-9052-87e93919f339,Athini Sithini,2000-01-01,Thenali,40ef3452-4f66-4b7d-a3cc-2a0d3051a029
36bbf3dc-80c8-4d3a-8a25-6b7c12364b23,Athiradee,2007-04-02,Sivaji: The Boss,393aa5a3-70bf-4213-aa0c-ab6806f67af6
6430729a-cef9-4d0b-a9d4-6d695419dafd,Atisaya Parinayam,2001-01-01,Paravasam,79bd7a2c-c1b2-4752-bc18-52621e5138b9
8f6e3245-e505-46bf-946f-8e59a1709465,Atthini Chitthini,2000-10-26,Thenali,4f644569-72b8-4224-9d10-ff4ce9b4d513
580c5df7-0a9f-47d9-89a8-4393f9b38b08,Aur Ho,2011-10-01,Rockstar,1eb706d2-eb60-46fa-8a62-586def81760b
3c20f172-287b-452d-9de9-e3c34bf98449,Aval Parandhu Ponaaley,2022-02-14,Navarasa,7d6179f4-0de2-4dd8-a1c6-2cb93e1db4f7
50b05f99-4fe7-4d45-a28c-5f7e2ad155f6,Avalum Naanum,2016-06-17,Achcham Yenbadhu Madamaiyada,f59f8600-d2be-4136-9833-d1187e234af6
0793ba65-831e-439f-bac0-9a39b163b92e,Awaara Bhanwara,-,Saathiya,8e1fb5da-b481-4cde-b9b0-4a2980a70818
084b522b-6bbc-4aa3-9167-71dd73e62879,Awaara Bhanwra,-,Saathiya,bf062fd3-6397-4596-b346-ecc7d9ed2be1
0464191d-9294-4b55-beb8-268e57647eea,Ay Sakhi,2013-06-11,Raanjhanaa,7a08dd2b-1acd-4556-8f39-fca9d81d097b
65334080-4a74-4af9-9d9a-b6aa5f9b09b0,Ayalaa Ayalaa,2024-01-10,Ayalaan,6ce54692-0a26-40f7-8564-b18b3559956f
47ed2f35-df18-4147-b5dc-6a0029da6fd4,Aye Amaayika,2015-04-04,OK Bangaram,54aefcb1-3852-4320-b8ce-e214836dd411
aff0e5cd-e4fb-45b7-a092-bdbe84faf6ea,Aye Bachchu,2008-01-01,Ghajini,5410c3ae-b6bb-492e-a8e5-d79a660fc176
a50813df-3f40-4c05-ade1-0f47b29ab68a,Aye Chandni,1995-01-01,Tu Hi Mera Dil,12a3e193-e9be-45a5-b7f4-0c29d3c40139
471aff41-cbfd-498e-9cbd-2d440ca6866b,Aye Jawaan,2014-03-13,Kochadaiiyaan (Original Motion Picture Soundtrack),a31951d1-c883-475e-8d34-9a79c90e2663
2a79e1f1-d203-464e-8ebc-c1cda4b84abc,Aye Kanya Gurram,2014-01-01,Premaalayam,808b2829-31c5-47aa-a6c3-3422ba22f1fb
5df27652-199b-44cb-889a-819a58aea849,Aye Mr. Minor!,2014-08-18,Kaaviya Thalaivan,f66a0829-6c11-487e-b845-076d4f5bda8b
05dda76c-f87b-4015-bc54-1a01ed19f9f8,Aye Sinamika,2015-04-04,O Kadhal Kanmani,4a43064a-7e30-4fff-b132-75825c0f03c3
a76d5832-35b3-4deb-a517-3b8d0a17600b,Aye Udi Udi Udi,2002-10-18,Saathiya,5e7eee49-532a-48c5-8697-6dd6f63ac5c5
3cdd3ec9-ee01-4195-9ab5-d6a5ac4d3e34,Aye udi udi udi,2003-01-01,Best of A.R. Rahman: Melody King,57ea2ed8-87ef-4092-afda-f4d6a79f2197
8f6b8e51-3b86-47e1-85be-db6db7081caa,Ayila Ayila,2014-01-01,I - Manoharudu,90454f43-4e2f-4231-8832-8e7a79479a99
a71c86ce-3187-486e-99ce-5047a2c73f56,Ayirathil Naan Oruvan,1997-01-01,Iruvar,b5fc35e0-5947-42dc-b222-d6f476343b2e
